source,participant,date,OS,frameRate,rt,corr,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,652,1,145,WORD,UN,16,couple,PARISH
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,611,1,116,WORD,UN,33,branch,TUMBLE
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,596,1,475,NW,ID,33,pebric,PEBRIC
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,618,1,151,WORD,UN,16,rocket,MYSTIC
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,568,1,172,WORD,UN,16,shower,PATROL
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,637,1,298,NW,ID,16,piergy,PIERGY
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,563,1,263,NW,ID,16,dolica,DOLICA
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,610,1,351,NW,UN,33,tringe,TIESCH
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,534,0,125,WORD,UN,16,enough,NICKEL
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,609,1,344,NW,UN,33,absend,SCRILY
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,515,1,33,WORD,ID,16,butler,BUTLER
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,749,1,418,NW,UN,16,slount,SUIDLE
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,590,1,13,WORD,ID,16,strive,STRIVE
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,709,1,379,NW,UN,16,cavory,AUTING
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,563,1,361,NW,UN,16,tireau,PAUCHE
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,577,1,324,NW,UN,33,thruse,STEIKH
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,494,1,168,WORD,UN,16,genius,ANSWER
