StimulusType,Condition,PrimeDuration,corr,q,N,mean_qRT,mean_min,mean_max
Word,Identical,33 ms,0,0.1,133,568.4913308270677,553.3077443609022,752.712030075188
Word,Identical,33 ms,0,0.3,133,596.3070526315789,553.3077443609022,752.712030075188
Word,Identical,33 ms,0,0.5,133,622.09992481203,553.3077443609022,752.712030075188
Word,Identical,33 ms,0,0.7,133,650.6519022556391,553.3077443609022,752.712030075188
Word,Identical,33 ms,0,0.9,133,713.1072180451127,553.3077443609022,752.712030075188
Word,Identical,33 ms,1,0.1,153,503.0012745098039,438.3629411764706,1186.7207843137255
Word,Identical,33 ms,1,0.3,153,553.894568627451,438.3629411764706,1186.7207843137255
Word,Identical,33 ms,1,0.5,153,598.3243137254902,438.3629411764706,1186.7207843137255
Word,Identical,33 ms,1,0.7,153,654.5371633986928,438.3629411764706,1186.7207843137255
Word,Identical,33 ms,1,0.9,153,778.4002483660131,438.3629411764706,1186.7207843137255
Word,Identical,50 ms,0,0.1,123,571.513162601626,554.8278861788618,735.2386991869919
Word,Identical,50 ms,0,0.3,123,603.1674552845528,554.8278861788618,735.2386991869919
Word,Identical,50 ms,0,0.5,123,630.5439430894309,554.8278861788618,735.2386991869919
Word,Identical,50 ms,0,0.7,123,665.0936422764228,554.8278861788618,735.2386991869919
Word,Identical,50 ms,0,0.9,123,708.4056341463414,554.8278861788618,735.2386991869919
Word,Identical,50 ms,1,0.1,153,487.56482352941174,428.656862745098,1119.085816993464
Word,Identical,50 ms,1,0.3,153,534.8906470588236,428.656862745098,1119.085816993464
Word,Identical,50 ms,1,0.5,153,577.5876143790849,428.656862745098,1119.085816993464
Word,Identical,50 ms,1,0.7,153,632.096385620915,428.656862745098,1119.085816993464
Word,Identical,50 ms,1,0.9,153,756.8469281045752,428.656862745098,1119.085816993464
Word,Unrelated,33 ms,0,0.1,141,543.9068368794326,523.8329078014184,799.9060283687943
Word,Unrelated,33 ms,0,0.3,141,577.8718156028369,523.8329078014184,799.9060283687943
Word,Unrelated,33 ms,0,0.5,141,619.1558156028369,523.8329078014184,799.9060283687943
Word,Unrelated,33 ms,0,0.7,141,673.5192269503546,523.8329078014184,799.9060283687943
Word,Unrelated,33 ms,0,0.9,141,747.6372056737588,523.8329078014184,799.9060283687943
Word,Unrelated,33 ms,1,0.1,153,519.3600653594772,455.90686274509807,1153.8808496732026
Word,Unrelated,33 ms,1,0.3,153,572.9116535947712,455.90686274509807,1153.8808496732026
Word,Unrelated,33 ms,1,0.5,153,619.5312091503268,455.90686274509807,1153.8808496732026
Word,Unrelated,33 ms,1,0.7,153,678.2915816993464,455.90686274509807,1153.8808496732026
Word,Unrelated,33 ms,1,0.9,153,819.0708039215687,455.90686274509807,1153.8808496732026
Word,Unrelated,50 ms,0,0.1,143,572.8014895104895,553.6805594405595,800.5681818181818
Word,Unrelated,50 ms,0,0.3,143,605.1982517482518,553.6805594405595,800.5681818181818
Word,Unrelated,50 ms,0,0.5,143,637.6078671328671,553.6805594405595,800.5681818181818
Word,Unrelated,50 ms,0,0.7,143,674.822041958042,553.6805594405595,800.5681818181818
Word,Unrelated,50 ms,0,0.9,143,746.8263496503496,553.6805594405595,800.5681818181818
Word,Unrelated,50 ms,1,0.1,153,521.5989934640523,458.53764705882355,1151.764705882353
Word,Unrelated,50 ms,1,0.3,153,574.106045751634,458.53764705882355,1151.764705882353
Word,Unrelated,50 ms,1,0.5,153,617.1747385620915,458.53764705882355,1151.764705882353
Word,Unrelated,50 ms,1,0.7,153,676.1958169934641,458.53764705882355,1151.764705882353
Word,Unrelated,50 ms,1,0.9,153,797.6842352941177,458.53764705882355,1151.764705882353
