StimulusType,Condition,PrimeDuration,corr,q,N,mean_qRT,mean_min,mean_max
Word,Unrelated,33 ms,0,0.1,71,596.2397746478873,580.6243661971831,814.776338028169
Word,Unrelated,33 ms,0,0.3,71,626.4763661971831,580.6243661971831,814.776338028169
Word,Unrelated,33 ms,0,0.5,71,657.0108450704225,580.6243661971831,814.776338028169
Word,Unrelated,33 ms,0,0.7,71,704.7249295774648,580.6243661971831,814.776338028169
Word,Unrelated,33 ms,0,0.9,71,775.9866690140844,580.6243661971831,814.776338028169
Word,Unrelated,33 ms,1,0.1,79,543.9205,480.89113924050633,1163.3187974683544
Word,Unrelated,33 ms,1,0.3,79,593.9076202531645,480.89113924050633,1163.3187974683544
Word,Unrelated,33 ms,1,0.5,79,637.2848734177215,480.89113924050633,1163.3187974683544
Word,Unrelated,33 ms,1,0.7,79,695.0448417721519,480.89113924050633,1163.3187974683544
Word,Unrelated,33 ms,1,0.9,79,816.954417721519,480.89113924050633,1163.3187974683544
