counterbalancing_condition,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,instr_done_touch.clicked_name,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,break_done_touch.clicked_name,break_done_keyboard.rt
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.737,,,,,,,,0.737,0,0,6,6,10,1,1011,NW,"ID",16,inlade,INLADE,z,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.719,,,,,,,,0.719,1,0,7,7,7,1,1008,WORD,UN,16,hurdle,VOLUME,m,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.834,,,,,,,,0.834,1,0,8,8,6,1,1007,WORD,UN,16,tropic,ZOMBIE,m,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.805,,,,,,,,0.805,1,0,9,9,3,1,1004,WORD,"ID",16,matrix,MATRIX,m,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.72,,,,,,,,0.72,1,0,10,10,4,1,1005,WORD,UN,33,abound,SQUEAK,m,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.665,,,,,,,,0.665,0,0,11,11,15,1,1016,NW,UN,16,mushed,WHAISE,z,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.634,,,,,,,,0.634,0,0,12,12,14,1,1015,NW,UN,16,miaber,THRALE,z,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.535,,,,,,,,0.535,0,0,13,13,9,1,1010,NW,"ID",33,fariny,FARINY,z,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.502,,,,,,,,0.502,1,0,14,14,12,1,1013,NW,UN,33,adveil,SPRINY,z,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.683,,,,,,,,0.683,1,0,15,15,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m,,,,,,,,,,,,,,,,,,,
,,,0.04296875,-0.38671875,1,0,0,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,instr_done_button,0,0,0,0,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,1.325,,,,,,,,1.325,0,,,,,,115,WORD,"ID",16,guitar,GUITAR,m,,,,,,,0.04296875,-0.37890625,0,0,0,,0,0,0,114,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.65,,,,,,,,0.65,0,,,,,,331,NW,"ID",16,gilfew,GILFEW,z,,,,,,,0.040364583,-0.37890625,0,0,0,,0,1,1,330,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.392,,,,,,,,0.392,0,,,,,,462,NW,UN,16,kispel,ABSULT,z,,,,,,,0.0390625,-0.37890625,0,0,0,,0,2,2,461,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.002,,,,,,,,0.002,0,,,,,,377,NW,UN,33,shrile,INJORE,z,,,,,,,0.0390625,-0.37890625,0,0,0,,0,3,3,376,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.085,,,,,,,,0.085,1,,,,,,249,NW,"ID",33,batrol,BATROL,z,,,,,,,0.0390625,-0.37890625,0,0,0,,0,4,4,248,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.127,,,,,,,,0.127,1,,,,,,33,WORD,"ID",33,butler,BUTLER,m,,,,,,,0.0390625,-0.37890625,0,0,0,,0,5,5,32,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,0.027,,,,,,,,0.027,0,,,,,,127,WORD,UN,33,senior,CASTLE,m,,,,,,,0.0390625,-0.37890625,0,0,0,,0,6,6,126,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.123,,,,,,,,0.123,1,,,,,,86,WORD,"ID",16,rodent,RODENT,m,,,,,,,0.0390625,-0.37890625,0,0,0,,0,7,7,85,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,0.184,,,,,,,,0.184,0,,,,,,240,WORD,UN,16,glance,FOREST,m,,,,,,,0.0390625,-0.37890625,0,0,0,,0,8,8,239,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.034,,,,,,,,0.034,0,,,,,,281,NW,"ID",33,melaty,MELATY,z,,,,,,,0.0390625,-0.37890625,0,0,0,,0,9,9,280,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,0.017,,,,,,,,0.017,0,,,,,,44,WORD,"ID",33,danger,DANGER,m,,,,,,,0.0390625,-0.37890625,0,0,0,,0,10,10,43,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.136,,,,,,,,0.136,1,,,,,,157,WORD,UN,33,island,DRAGON,m,,,,,,,0.0390625,-0.37890625,0,0,0,,0,11,11,156,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.003,,,,,,,,0.003,1,,,,,,252,NW,"ID",33,stapod,STAPOD,z,,,,,,,0.0390625,-0.37890625,0,0,0,,0,12,12,251,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.142,,,,,,,,0.142,0,,,,,,446,NW,UN,16,gircue,RUNAMO,z,,,,,,,0.0390625,-0.37890625,0,0,0,,0,13,13,445,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,0.15,,,,,,,,0.15,0,,,,,,25,WORD,"ID",33,domain,DOMAIN,m,,,,,,,0.0390625,-0.37890625,0,0,0,,0,14,14,24,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.036,,,,,,,,0.036,1,,,,,,159,WORD,UN,33,violet,DETAIL,m,,,,,,,0.0390625,-0.37890625,0,0,0,,0,15,15,158,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.017,,,,,,,,0.017,1,,,,,,272,NW,"ID",33,damilt,DAMILT,z,,,,,,,0.0390625,-0.37890625,0,0,0,,0,16,16,271,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.1,,,,,,,,0.1,0,,,,,,438,NW,UN,16,limpor,BAITCH,z,,,,,,,0.0390625,-0.37890625,0,0,0,,0,17,17,437,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.122,,,,,,,,0.122,0,,,,,,322,NW,"ID",16,slanch,SLANCH,z,,,,,,,0.0390625,-0.37890625,0,0,0,,0,18,18,321,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.051,,,,,,,,0.051,0,,,,,,332,NW,"ID",16,vangue,VANGUE,z,,,,,,,0.0390625,-0.37890625,0,0,0,,0,19,19,331,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,0.037,,,,,,,,0.037,0,,,,,,48,WORD,"ID",33,walnut,WALNUT,m,,,,,,,0.0390625,-0.37890625,0,0,0,,0,20,20,47,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.172,,,,,,,,0.172,1,,,,,,219,WORD,UN,16,voyage,BUCKET,m,,,,,,,0.0390625,-0.37890625,0,0,0,,0,21,21,218,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.007,,,,,,,,0.007,1,,,,,,84,WORD,"ID",16,mortal,MORTAL,m,,,,,,,0.0390625,-0.37890625,0,0,0,,0,22,22,83,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.016,,,,,,,,0.016,1,,,,,,200,WORD,UN,16,admire,BEACON,m,,,,,,,0.0390625,-0.37890625,0,0,0,,0,23,23,199,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,0.05,,,,,,,,0.05,0,,,,,,161,WORD,UN,33,candle,PASTOR,m,,,,,,,0.0390625,-0.37890625,0,0,0,,0,24,24,160,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,0.136,,,,,,,,0.136,0,,,,,,209,WORD,UN,16,monkey,SEARCH,m,,,,,,,0.0390625,-0.37890625,0,0,0,,0,25,25,208,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.06,,,,,,,,0.06,0,,,,,,387,NW,UN,33,cragin,GRONCE,z,,,,,,,0.0390625,-0.37890625,0,0,0,,0,26,26,386,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,0.107,,,,,,,,0.107,0,,,,,,120,WORD,"ID",16,strain,STRAIN,m,,,,,,,0.0390625,-0.37890625,0,0,0,,0,27,27,119,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.137,,,,,,,,0.137,1,,,,,,230,WORD,UN,16,export,FRINGE,m,,,,,,,0.0390625,-0.37890625,0,0,0,,0,28,28,229,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.053,,,,,,,,0.053,1,,,,,,385,NW,UN,33,ancust,VEIGMA,z,,,,,,,0.0390625,-0.37890625,0,0,0,,0,29,29,384,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.154,,,,,,,,0.154,0,,,,,,384,NW,UN,33,veigma,GUESCO,z,,,,,,,0.0390625,-0.37890625,0,0,0,,0,30,30,383,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.006,,,,,,,,0.006,0,,,,,,431,NW,UN,16,lunker,CHRUMS,z,,,,,,,0.0390625,-0.37890625,0,0,0,,0,31,31,430,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.136,,,,,,,,0.136,1,,,,,,301,NW,"ID",16,fainch,FAINCH,z,,,,,,,0.0390625,-0.37890625,0,0,0,,0,32,32,300,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.186,,,,,,,,0.186,1,,,,,,479,NW,UN,16,josted,LOBUSH,z,,,,,,,0.0390625,-0.37890625,0,0,0,,0,33,33,478,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.067,,,,,,,,0.067,0,,,,,,388,NW,UN,33,witmer,CRAGIN,z,,,,,,,0.0390625,-0.37890625,0,0,0,,0,34,34,387,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,0.091,,,,,,,,0.091,0,,,,,,68,WORD,"ID",16,fumble,FUMBLE,m,,,,,,,0.0390625,-0.37890625,0,0,0,,0,35,35,67,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.167,,,,,,,,0.167,1,,,,,,373,NW,UN,33,injore,BIGENT,z,,,,,,,0.0390625,-0.37890625,0,0,0,,0,36,36,372,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.052,,,,,,,,0.052,1,,,,,,280,NW,"ID",33,curbol,CURBOL,z,,,,,,,0.0390625,-0.37890625,0,0,0,,0,37,37,279,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.002,,,,,,,,0.002,1,,,,,,180,WORD,UN,33,thrive,SILENT,m,,,,,,,0.0390625,-0.37890625,0,0,0,,0,38,38,179,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.001,,,,,,,,0.001,1,,,,,,324,NW,"ID",16,steikh,STEIKH,z,,,,,,,0.0390625,-0.37890625,0,0,0,,0,39,39,323,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,0,1.092,,,,,,,,1.092,0,,,,,,168,WORD,UN,33,genius,ANSWER,m,,,,,,,0.0390625,-0.37890625,0,0,0,,0,40,40,167,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.134,,,,,,,,0.134,0,,,,,,410,NW,UN,33,orchin,TUNORY,z,,,,,,,0.0390625,-0.37890625,0,0,0,,0,41,41,409,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.002,,,,,,,,0.002,1,,,,,,225,WORD,UN,16,kidney,VULGAR,m,,,,,,,0.0390625,-0.37890625,0,0,0,,0,42,42,224,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.006,,,,,,,,0.006,1,,,,,,7,WORD,"ID",33,anchor,ANCHOR,m,,,,,,,0.0390625,-0.37890625,0,0,0,,0,43,43,6,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.056,,,,,,,,0.056,1,,,,,,87,WORD,"ID",16,filter,FILTER,m,,,,,,,0.0390625,-0.37890625,0,0,0,,0,44,44,86,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.086,,,,,,,,0.086,1,,,,,,283,NW,"ID",33,veralf,VERALF,z,,,,,,,0.0390625,-0.37890625,0,0,0,,0,45,45,282,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.859,,,,,,,,0.859,1,,,,,,52,WORD,"ID",33,impose,IMPOSE,m,,,,,,,0.0390625,-0.380208333,0,0,0,,0,46,46,51,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.04,,,,,,,,0.04,0,,,,,,425,NW,UN,16,schind,FRUDGE,z,,,,,,,-0.015625,-0.377604167,0,0,0,,0,47,47,424,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.105,,,,,,,,0.105,0,,,,,,397,NW,UN,33,blunde,CAMBLE,z,,,,,,,-0.096354167,-0.37109375,0,0,0,,0,48,48,396,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,0.433,,,,,,,,0.433,0,,,,,,242,NW,"ID",33,unwert,UNWERT,z,,,,,,,-0.16015625,-0.368489583,0,0,0,,0,49,49,241,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,0.333,,,,,,,,0.333,1,,,,,,299,NW,"ID",33,sturch,STURCH,z,,,,,,,-0.170572917,-0.369791667,0,0,0,,0,50,50,298,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.193,,,,,,,,0.193,1,,,,,,8,WORD,"ID",33,abrupt,ABRUPT,m,,,,,,,-0.170572917,-0.369791667,0,0,0,,0,51,51,7,1,,
,,,,,,,,,,,,,,,,,,5fb87cc7e395495e86b4dda8,2020-11-27_07h24.51.333,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,0.139,,,,,,,,0.139,1,,,,,,204,WORD,UN,16,lounge,BURDEN,m,,,,,,,-0.201822917,-0.376302083,0,0,0,,0,52,52,203,1,,
