instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,,,,,,,,,,,,,,,,,999,2020-08-05_18h49.41.372,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,1.748,-1,,,,,,402,NW,"ID",50,syntic,SYNTIC,a,,,,,,-0.9375,-0.229166667,0,0,0,,0,32,32,341,1
,,,,,,,,,,,,,,,,,999,2020-08-05_18h49.41.372,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,1.748,-1,,,,,,287,NW,UN,50,yaceup,NYMBEL,a,,,,,,-0.9375,-0.229166667,0,0,0,,0,33,33,466,1
,,,,,,,,,,,,,,,,,999,2020-08-05_18h49.41.372,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,1.748,-1,,,,,,111,WORD,"ID",33,induce,INDUCE,l,,,,,,-0.9375,-0.229166667,0,0,0,,0,34,34,50,1
,,,,,,,,,,,,,,,,,999,2020-08-05_18h49.41.372,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,1.748,-1,,,,,,394,NW,"ID",50,spaqux,SPAQUX,a,,,,,,-0.9375,-0.229166667,0,0,0,,0,35,35,333,1
,,,,,,,,,,,,,,,,,999,2020-08-05_18h49.41.372,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,1.748,-1,,,,,,38,WORD,UN,50,insect,POWDER,l,,,,,,-0.9375,-0.229166667,0,0,0,,0,36,36,217,1
,,,,,,,,,,,,,,,,,999,2020-08-05_18h49.41.372,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,1.748,-1,,,,,,329,NW,"ID",33,yarike,YARIKE,a,,,,,,-0.9375,-0.229166667,0,0,0,,0,37,37,268,1
,,,,,,,,,,,,,,,,,999,2020-08-05_18h49.41.372,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,1.748,-1,,,,,,146,WORD,"ID",50,couple,COUPLE,l,,,,,,-0.9375,-0.229166667,0,0,0,,0,38,38,85,1
,,,,,,,,,,,,,,,,,999,2020-08-05_18h49.41.372,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,1.748,-1,,,,,,9,WORD,UN,50,bridge,HUSTLE,l,,,,,,-0.9375,-0.229166667,0,0,0,,0,39,39,188,1
,,,,,,,,,,,,,,,,,999,2020-08-05_18h49.41.372,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,1.748,-1,,,,,,42,WORD,UN,50,tongue,CHAPEL,l,,,,,,-0.9375,-0.229166667,0,0,0,,0,40,40,221,1
,,,,,,,,,,,,,,,,,999,2020-08-05_18h49.41.372,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,1.748,-1,,,,,,281,NW,UN,50,porlex,MELATY,a,,,,,,-0.9375,-0.229166667,0,0,0,,0,41,41,460,1
,,,,,,,,,,,,,,,,,999,2020-08-05_18h49.41.372,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,1.748,-1,,,,,,472,NW,UN,33,gorbie,CIGNEY,a,,,,,,-0.9375,-0.229166667,0,0,0,,0,42,42,411,1
,,,,,,,,,,,,,,,,,999,2020-08-05_18h49.41.372,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,1.748,-1,,,,,,415,NW,"ID",50,higsta,HIGSTA,a,,,,,,-0.9375,-0.229166667,0,0,0,,0,43,43,354,1
,,,,,,,,,,,,,,,,,999,2020-08-05_18h49.41.372,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,1.748,-1,,,,,,428,NW,UN,33,funtle,TANDLY,a,,,,,,-0.9375,-0.229166667,0,0,0,,0,44,44,367,1
,,,,,,,,,,,,,,,,,999,2020-08-05_18h49.41.372,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,1.748,-1,,,,,,75,WORD,"ID",33,trophy,TROPHY,l,,,,,,-0.9375,-0.229166667,0,0,0,,0,45,45,14,1
,,,,,,,,,,,,,,,,,999,2020-08-05_18h49.41.372,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,1.748,-1,,,,,,10,WORD,UN,50,cruise,ETHNIC,l,,,,,,-0.9375,-0.229166667,0,0,0,,0,46,46,189,1
,,,,,,,,,,,,,,,,,999,2020-08-05_18h49.41.372,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,1.748,-1,,,,,,40,WORD,UN,50,spring,CONVEY,l,,,,,,-0.556547619,0.034722222,0,0,0,,0,47,47,219,1
,,,,,,,,,,,,,,,,,999,2020-08-05_18h49.41.372,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,1.748,-1,,,,,,213,WORD,UN,33,intake,SQUEAL,l,,,,,,-0.948412698,-0.162698413,0,0,0,,0,48,48,152,1
,,,,,,,,,,,,,,,,,999,2020-08-05_18h49.41.372,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,1.748,-1,,,,,,109,WORD,"ID",33,wonder,WONDER,l,,,,,,-0.948412698,-0.162698413,0,0,0,,0,49,49,48,1
,,,,,,,,,,,,,,,,,999,2020-08-05_18h49.41.372,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,1.748,-1,,,,,,184,WORD,UN,33,bother,SLEAZY,l,,,,,,-0.948412698,-0.162698413,0,0,0,,0,50,50,123,1
,,,,,,,,,,,,,,,,,999,2020-08-05_18h49.41.372,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,1.748,-1,,,,,,125,WORD,"ID",50,nickel,NICKEL,l,,,,,,-0.948412698,-0.162698413,0,0,0,,0,51,51,64,1
,,,,,,,,,,,,,,,,,999,2020-08-05_18h49.41.372,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,1.748,-1,,,,,,158,WORD,"ID",50,island,ISLAND,l,,,,,,-0.661706349,-0.473214286,0,0,0,,0,52,52,97,1
