instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,instr_done_touch.clicked_name,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.4208,-0.2936,1,0,0,0.931135,button_left,0.931135,1,,,,,,480,NW,UN,33,knisma,ROBULY,a,,,,,,,-0.4208,-0.2936,1,0,0,,0,2,2,419,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.4176,-0.2936,1,0,0,0.76471,button_left,0.76471,1,,,,,,476,NW,UN,33,photie,JOSTED,a,,,,,,,-0.4176,-0.2936,1,0,0,,0,3,3,415,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.4144,-0.2856,1,0,0,0.730955,button_left,0.730955,1,,,,,,447,NW,UN,33,sadent,GIRCUE,a,,,,,,,-0.4144,-0.2856,1,0,0,,0,4,4,386,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.3072,-0.3704,1,0,0,1.014935,button_right,1.014935,1,,,,,,161,WORD,"ID",50,pastor,PASTOR,l,,,,,,,0.3072,-0.3704,1,0,0,,0,5,5,100,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.3424,-0.3464,1,0,0,0.981415,button_right,0.981415,1,,,,,,60,WORD,UN,50,fright,PENCIL,l,,,,,,,0.3424,-0.3464,1,0,0,,0,6,6,239,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.416,-0.2952,1,0,0,0.981905,button_left,0.981905,1,,,,,,462,NW,UN,33,kispel,ABSULT,a,,,,,,,-0.416,-0.2952,1,0,0,,0,7,7,401,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.4112,-0.2952,1,0,0,0.93147,button_right,0.93147,1,,,,,,118,WORD,"ID",33,flight,FLIGHT,l,,,,,,,0.4112,-0.2952,1,0,0,,0,8,8,57,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.4032,-0.3256,1,0,0,0.681875,button_right,0.681875,1,,,,,,74,WORD,"ID",33,plaque,PLAQUE,l,,,,,,,0.4032,-0.3256,1,0,0,,0,9,9,13,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.3488,-0.2888,1,0,0,1.66512,button_left,1.66512,1,,,,,,341,NW,"ID",33,myrtie,MYRTIE,a,,,,,,,-0.3488,-0.2888,1,0,0,,0,10,10,280,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.3216,-0.3208,1,0,0,1.4482,button_left,1.4482,1,,,,,,441,NW,UN,33,aboune,RASTOE,a,,,,,,,-0.3216,-0.3208,1,0,0,,0,11,11,380,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.3408,-0.2792,1,0,0,0.748885,button_left,0.748885,1,,,,,,433,NW,UN,33,pitrom,DRANCE,a,,,,,,,-0.3408,-0.2792,1,0,0,,0,12,12,372,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.2928,-0.3128,1,0,0,0.98186,button_left,0.98186,0,,,,,,142,WORD,"ID",50,spruce,SPRUCE,l,,,,,,,-0.2928,-0.3128,1,0,0,,0,13,13,81,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.32,-0.3096,1,0,0,1.71535,button_right,1.71535,1,,,,,,134,WORD,"ID",50,staple,STAPLE,l,,,,,,,0.32,-0.3096,1,0,0,,0,14,14,73,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.3136,-0.3176,1,0,0,0.631925,button_right,0.631925,1,,,,,,82,WORD,"ID",33,stigma,STIGMA,l,,,,,,,0.3136,-0.3176,1,0,0,,0,15,15,21,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.3632,-0.3432,1,0,0,0.54843,button_right,0.54843,1,,,,,,111,WORD,"ID",33,induce,INDUCE,l,,,,,,,0.3632,-0.3432,1,0,0,,0,16,16,50,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.368,-0.3416,1,0,0,0.448765,button_right,0.448765,1,,,,,,166,WORD,"ID",50,starch,STARCH,l,,,,,,,0.368,-0.3416,1,0,0,,0,17,17,105,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.3104,-0.2344,1,0,0,1.18186,button_left,1.18186,1,,,,,,291,NW,UN,50,ablint,PRETCH,a,,,,,,,-0.3104,-0.2344,1,0,0,,0,18,18,470,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.3248,-0.292,1,0,0,1.01553,button_left,1.01553,1,,,,,,344,NW,"ID",33,scrily,SCRILY,a,,,,,,,-0.3248,-0.292,1,0,0,,0,19,19,283,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.376,-0.2936,1,0,0,1.064955,button_left,1.064955,1,,,,,,354,NW,"ID",33,virlex,VIRLEX,a,,,,,,,-0.376,-0.2936,1,0,0,,0,20,20,293,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.296,-0.292,1,0,0,0.731545,button_left,0.731545,1,,,,,,373,NW,"ID",50,bigent,BIGENT,a,,,,,,,-0.296,-0.292,1,0,0,,0,21,21,312,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.3472,-0.3976,1,0,0,0.964975,button_right,0.964975,1,,,,,,215,WORD,UN,33,lumber,PHOBIA,l,,,,,,,0.3472,-0.3976,1,0,0,,0,22,22,154,1
