counterbalancing_condition,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_done_keyboard.rt,trials.order
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,0.40495,-1,,,,,,263,NW,"ID",33,dolica,DOLICA,z,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,228,228,262,1,,
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,0.40495,-1,,,,,,219,WORD,UN,50,voyage,BUCKET,m,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,229,229,218,1,,
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,0.40495,-1,,,,,,37,WORD,"ID",33,insult,INSULT,m,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,230,230,36,1,,
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,0.40495,-1,,,,,,91,WORD,"ID",50,expand,EXPAND,m,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,231,231,90,1,,
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,0.40495,-1,,,,,,96,WORD,"ID",50,ignore,IGNORE,m,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,232,232,95,1,,
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,0.40495,-1,,,,,,182,WORD,UN,50,basket,WINTER,m,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,233,233,181,1,,
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,0.40495,-1,,,,,,464,NW,UN,50,whivex,CHAITE,z,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,234,234,463,1,,
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,0.40495,-1,,,,,,387,NW,UN,33,cragin,GRONCE,z,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,235,235,386,1,,
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,0.40495,-1,,,,,,265,NW,"ID",33,distar,DISTAR,z,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,236,236,264,1,,
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,0.40495,-1,,,,,,281,NW,"ID",33,melaty,MELATY,z,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,237,237,280,1,,
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,0.40495,-1,,,,,,404,NW,UN,33,syntic,CLUIRM,z,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,238,238,403,1,,
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,0.40495,-1,,,,,,384,NW,UN,33,veigma,GUESCO,z,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,239,239,383,1,,
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,0.40495,-1,,,,,,27,WORD,"ID",33,scream,SCREAM,m,,,,,,2.6491E-08,-1.4912E-08,0,0,0,,0,240,240,26,1,,
,,,,,,,,,,,,,,,,,,5ea5b7467bc3955b6bf0a1ca,2020-08-10_17h54.17.720,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,0.40495,-1,,,,,,477,NW,UN,50,acrise,PHOTIE,z,,,,,,,,,,,,1,0,480,476,1,,479
